FIPS,County,State,pm10,avg_temp,RUCC_2023,asthma_rate,ped_TOTAL_HOUSING_VULN,loc_Metro,loc_Rural-Adjacent,loc_Rural-Isolated,Final_Predicted_Rate,ML_Predicted_Asthma,Residual,Abs_Error,Test_Predicted_Rate,Test_Abs_Error,Error_Percentage
45091,York,South Carolina,13.877454823225657,61.760185185185186,1,22.92103673,0.1790511656559779,TRUE,FALSE,FALSE,40.236794063991915,38.040518035286404,-15.1194813,15.119481303286403,40.236794063991915,17.315757331991914,75.54526234765564
45089,Williamsburg,South Carolina,15.979188587137187,65.39907407407408,6,98.43715044,0.5405540835342642,FALSE,TRUE,FALSE,120.62409380237376,117.4154532785499,-18.97830284,18.97830284254991,120.62409380237376,22.186943366373768,22.539197110138673
45087,Union,South Carolina,14.191584813565939,62.30555555555556,2,90.08384727,0.400593785,TRUE,FALSE,FALSE,56.103661641349035,58.302150761352415,31.78169651164759,31.78169651164759,56.103661641349035,33.98018563165097,37.72061991166261
45085,Sumter,South Carolina,14.28462378894356,64.91388888888889,3,80.22554199,0.3409404813002756,TRUE,FALSE,FALSE,62.47859586707811,63.07868441476198,17.146857577238023,17.146857577238023,62.47859586707811,17.74694612492189,22.121316583553398
45083,Spartanburg,South Carolina,14.022670791215207,61.89259259259259,2,47.05134565,0.2651379824614273,TRUE,FALSE,FALSE,45.46803679,45.55667651814022,1.4946691348597767,1.4946691348597767,45.46803679,1.5833088583988015,3.3650660494932088
45081,Saluda,South Carolina,14.715352664497248,64.04537037037036,2,38.33983879,0.34470478049810044,TRUE,FALSE,FALSE,64.25944475,62.839526805628275,-24.49968802,24.499688017628273,64.25944475,25.91960596,67.60489032854538
45079,Richland,South Carolina,15.135470527404344,64.80555555555556,2,63.49828858,0.26622333787506863,TRUE,FALSE,FALSE,61.386722757209476,61.46620036633412,2.0320882086658756,2.0320882086658756,61.386722757209476,2.1115658177905203,3.325390124958215
45077,Pickens,South Carolina,14.584055574143747,61.513888888888886,2,41.51082839,0.2833660281488756,TRUE,FALSE,FALSE,50.465520710164796,49.57718920647054,-8.066360816,8.066360816470542,50.465520710164796,8.954692320164796,21.571943195241055
45075,Orangeburg,South Carolina,15.082214850180828,65.69351851851852,4,120.2453481,0.6899971208344645,FALSE,TRUE,FALSE,127.5531173324533,125.66198795035677,-5.41663985,5.416639850356773,127.5531173324533,7.307769232453296,6.077382075833747
45073,Oconee,South Carolina,14.92457988682296,60.97777777777778,4,37.44464704,0.23969563947953032,FALSE,TRUE,FALSE,52.04735209048643,49.679467331635394,-12.23482029,12.234820291635394,52.04735209048643,14.602705050486428,38.99811109151913
45071,Newberry,South Carolina,14.543687224921385,63.577777777777776,6,76.55645607,0.2963792394113614,FALSE,TRUE,FALSE,60.39958116747042,61.43132443221333,15.125131636786676,15.125131636786676,60.39958116747042,16.156874901529584,21.10452303
45065,McCormick,South Carolina,15.106904484886046,64.17962962962963,8,60.66656428,0.14763871549452076,FALSE,TRUE,FALSE,56.25103618853741,57.42023785,3.2463264306594013,3.2463264306594013,56.25103618853741,4.415528087,7.278355285416081
45069,Marlboro,South Carolina,13.199617186962046,64.38703703703703,6,45.63208894,0.4470106262930225,FALSE,TRUE,FALSE,69.35239013362356,66.78922846,-21.15713953,21.157139525650493,69.35239013362356,23.720301197623556,51.98162466524773
45067,Marion,South Carolina,15.09893460153968,65.12685185185185,6,129.2051206,0.47722134739148303,FALSE,TRUE,FALSE,91.91948942749922,93.67109012180745,35.53403044819254,35.53403044819254,91.91948942749922,37.285631142500776,28.85770391917276
45063,Lexington,South Carolina,14.484575225439013,64.80555555555556,2,33.7301675,0.2965780181755703,TRUE,FALSE,FALSE,60.374633980170955,58.89082116290114,-25.16065366,25.160653661901144,60.374633980170955,26.64446647917096,78.99298596243565
45061,Lee,South Carolina,13.377374458488902,64.45462962962964,8,98.3832921,0.6614463922610779,FALSE,TRUE,FALSE,99.12832883196884,99.07077820520658,-0.687486104,0.6874861042065845,99.12832883196884,0.7450367309688488,0.7572797322171292
45059,Laurens,South Carolina,14.575234666848589,62.795370370370364,2,64.95541818,0.3990900735294118,TRUE,FALSE,FALSE,62.59140953404878,62.801495790441855,2.1539223855581398,2.1539223855581398,62.59140953404878,2.364008641951216,3.6394325651877333
45057,Lancaster,South Carolina,13.371307151218423,62.471296296296295,1,28.86792094,0.17324565692577495,TRUE,FALSE,FALSE,37.70839528989352,36.48078178268937,-7.612860844,7.6128608436893686,37.70839528989352,8.840474350893516,30.623869206147802
