FIPS,pm10,avg_temp,ped_E_RENTER,ped_E_MOBILE,ped_E_GROUPQ,RUCC_2023,asthma_rate,ped_TOTAL_HOUSING_VULN,loc_Metro,loc_Rural-Adjacent,loc_Rural-Isolated,County Name,ML_Predicted_Asthma,Residual,Abs_Error,Test_Predicted_Rate,Test_Abs_Error,Error_Percentage
45091,13.877454823225657,61.760185185185186,0.1222051713146357,0.04406795024872888,0.012778044092613315,1,22.921036732,0.1790511656559779,True,False,False,york,38.040518035286404,-15.119481303286403,15.119481303286403,40.236794063991915,17.315757331991914,75.54526234765564
45089,15.979188587137187,65.39907407407408,0.17362523515540126,0.2989112636125169,0.06801758476634606,6,98.437150436,0.5405540835342642,False,True,False,williamsburg,117.4154532785499,-18.97830284254991,18.97830284254991,120.62409380237376,22.186943366373768,22.539197110138673
45087,14.191584813565939,62.30555555555556,0.2180398777524118,0.16917018926283228,0.013383717504970909,2,90.083847273,0.400593784520215,True,False,False,union,58.302150761352415,31.78169651164759,31.78169651164759,56.103661641349035,33.98018563165097,37.72061991166261
45085,14.28462378894356,64.91388888888889,0.20064834632092876,0.12420879987891081,0.01608333510043602,3,80.225541992,0.3409404813002756,True,False,False,sumter,63.07868441476198,17.146857577238023,17.146857577238023,62.47859586707811,17.74694612492189,22.121316583553398
45083,14.022670791215207,61.89259259259259,0.1761538272179315,0.07215279178497563,0.016831363458520165,2,47.051345653,0.2651379824614273,True,False,False,spartanburg,45.55667651814022,1.4946691348597767,1.4946691348597767,45.4680367946012,1.5833088583988015,3.3650660494932088
45081,14.715352664497248,64.04537037037036,0.13998548965808358,0.19344238075137185,0.011276910088644997,2,38.339838788,0.34470478049810044,True,False,False,saluda,62.839526805628275,-24.499688017628273,24.499688017628273,64.2594447527685,25.9196059647685,67.60489032854538
45079,15.135470527404344,64.80555555555556,0.20271779836219764,0.024244194965536495,0.03926134454733449,2,63.498288575,0.26622333787506863,True,False,False,richland,61.46620036633412,2.0320882086658756,2.0320882086658756,61.386722757209476,2.1115658177905203,3.325390124958215
45077,14.584055574143747,61.513888888888886,0.15804186296955508,0.10316724325808578,0.02215692192123477,2,41.51082839,0.2833660281488756,True,False,False,pickens,49.57718920647054,-8.066360816470542,8.066360816470542,50.465520710164796,8.954692320164796,21.571943195241055
45075,15.082214850180828,65.69351851851852,0.3264243231904445,0.3237367729764265,0.039836024667593485,4,120.2453481,0.6899971208344645,False,True,False,orangeburg,125.66198795035677,-5.416639850356773,5.416639850356773,127.5531173324533,7.307769232453296,6.077382075833747
45073,14.92457988682296,60.97777777777778,0.11833363376705809,0.11543144398603618,0.005930561726436053,4,37.44464704,0.23969563947953032,False,True,False,oconee,49.679467331635394,-12.234820291635394,12.234820291635394,52.04735209048643,14.602705050486428,38.99811109151913
